full_name,first_name,last_name,number
FilippoToninelli,Filippo,Toninelli,3497867407
AlbertoMiniati,Alberto,Miniati,3628560741
FernandaMichelangeli,Fernanda,Michelangeli,3247189945
SebastianoCasini,Sebastiano,Casini,3227522464
LazzaroCiani,Lazzaro,Ciani,3448243645
VenancioMaffei,Venancio,Maffei,3509985798
FrancescoCasini,Francesco,Casini,3270783624
CalcedonioPanicucci,Calcedonio,Panicucci,3447503756
GianniFittipaldi,Gianni,Fittipaldi,3756281529
NinaSperi,Nina,Speri,3510731891
OsvaldoVespa,Osvaldo,Vespa,3499194420
MarcantonioTamburello,Marcantonio,Tamburello,3383143835
TizianoFerretti,Tiziano,Ferretti,3777529051
GiorgiaTomei,Giorgia,Tomei,3346347398
SanteMilanesi,Sante,Milanesi,3413380768
FiorenzoTafuri,Fiorenzo,Tafuri,3500748428
AnnibaleFischetti,Annibale,Fischetti,3714960152
SerafinaMarcacci,Serafina,Marcacci,3473816077
AdrianaLombroso,Adriana,Lombroso,3243804268
AmedeoMercantini,Amedeo,Mercantini,3520825641
TeresaSauli,Teresa,Sauli,3308115635
AlinaFicino,Alina,Ficino,3288764465
TelemacoPacelli,Telemaco,Pacelli,3500085979
AlessandraVivaldi,Alessandra,Vivaldi,3973307175
DanieleCanova,Daniele,Canova,3505801677
VincenzaPisaroni,Vincenza,Pisaroni,3413135296
TizianaSemitecolo,Tiziana,Semitecolo,3703605763
LilianaMalaparte,Liliana,Malaparte,3291758717
NicoFlorio,Nico,Florio,3505489847
PietroGramsci,Pietro,Gramsci,3516436684
ArnaldoPedersoli,Arnaldo,Pedersoli,3455826718
DarioScaduto,Dario,Scaduto,3896725585
AuroraTamburini,Aurora,Tamburini,3902853458
GriseldaZola,Griselda,Zola,3515370730
VittoriaGozzano,Vittoria,Gozzano,3633927845
LuchinoRiccardi,Luchino,Riccardi,3509517355
OrlandoMonaco,Orlando,Monaco,3311129033
FilippaSoderini,Filippa,Soderini,3977182507
AgnoloBandello,Agnolo,Bandello,3501794020
AntonelloBresciani,Antonello,Bresciani,3793760203
AmaliaFusani,Amalia,Fusani,3450025811
AlinaFederico,Alina,Federico,3513080328
CeciliaSanguineti,Cecilia,Sanguineti,3513875033
ClaudiaJuvara,Claudia,Juvara,3208995208
GermanaMoneta,Germana,Moneta,3435412275
SanteMicca,Sante,Micca,3920193868
DuranteBertolucci,Durante,Bertolucci,3412830572
StefaniScamarcio,Stefani,Scamarcio,3897198215
RembrandtAlmagià,Rembrandt,Almagià,3203210363
ArnaldoTrobbiani,Arnaldo,Trobbiani,3464902583
DomenicoStrangio,Domenico,Strangio,3684127096
GianMazzanti,Gian,Mazzanti,3514288931
CarmeloBova,Carmelo,Bova,3505929489
GiacintoSgarbi,Giacinto,Sgarbi,3793815572
DionigiIadanza,Dionigi,Iadanza,3756905238
BenvenutoMissoni,Benvenuto,Missoni,3343608241
SerafinaLigorio,Serafina,Ligorio,3386506974
SalvatoreTamborini,Salvatore,Tamborini,3888344961
NicolòGradenigo,Nicolò,Gradenigo,3505137582
PriscillaIannucci,Priscilla,Iannucci,3397956070
EleanoraAntonacci,Eleanora,Antonacci,3273377641
UbaldoIacovelli,Ubaldo,Iacovelli,3520040963
FrancescaTasso,Francesca,Tasso,3427449509
EmilioCaruso,Emilio,Caruso,3390249358
MarisaPisaroni,Marisa,Pisaroni,3800086818
FernandaFalloppio,Fernanda,Falloppio,3280322135
RaffaellaSpanevello,Raffaella,Spanevello,3838286047
GioeleGolino,Gioele,Golino,3373918225
RaffaelloFinetti,Raffaello,Finetti,3510352948
CiroPignatti,Ciro,Pignatti,3453870071
AntonioBernetti,Antonio,Bernetti,3316105084
GraziellaGalilei,Graziella,Galilei,3222111553
PellegrinoBaglioni,Pellegrino,Baglioni,3925272738
TorquatoRomano,Torquato,Romano,3247917274
LiviaFerraris,Livia,Ferraris,3330882654
PierToldo,Pier,Toldo,3204135736
FrancoAsprucci,Franco,Asprucci,3517036799
GiacobbeCamiscione,Giacobbe,Camiscione,3510491739
ArturoDruso,Arturo,Druso,3401631970
BiancaScarlatti,Bianca,Scarlatti,3770934170
LiciaDetti,Licia,Detti,3347940103
PriscillaGiannuzzi,Priscilla,Giannuzzi,3777021765
GiampaoloGrassi,Giampaolo,Grassi,3616855303
MichelettoFiorucci,Micheletto,Fiorucci,3517975869
LivioBorsellino,Livio,Borsellino,3501735257
SandraAbatantuono,Sandra,Abatantuono,3432192791
GabrieleCatalano,Gabriele,Catalano,3772555850
DomenicoPisacane,Domenico,Pisacane,3858511979
MariaGradenigo,Maria,Gradenigo,3241691453
LeopoldoCeci,Leopoldo,Ceci,3687404891
DanteSpadafora,Dante,Spadafora,3373591996
EleanoraFaugno,Eleanora,Faugno,3710110292
FiorenzoMonicelli,Fiorenzo,Monicelli,3634432899
NicoBerrè,Nico,Berrè,3348694427
LolitaJovinelli,Lolita,Jovinelli,3516416841
ElenaVisconti,Elena,Visconti,3629615560
PasqualUghi,Pasqual,Ughi,3802575264
GiacintoSabbatini,Giacinto,Sabbatini,3774597358
ElisaGiannelli,Elisa,Giannelli,3223948838
GioachinoTogliatti,Gioachino,Togliatti,3793899324
MichelangeloForza,Michelangelo,Forza,3237165016
VirginiaSgarbi,Virginia,Sgarbi,3511947284
MassimoFilippini,Massimo,Filippini,3939485565
CirilloMorosini,Cirillo,Morosini,3820195976
ValentinaBataglia,Valentina,Bataglia,3928867110
CarloCaffarelli,Carlo,Caffarelli,3620220466
VirgilioMontanari,Virgilio,Montanari,3500177598
RuggeroMazzini,Ruggero,Mazzini,3338982228
RaffaellaLonghena,Raffaella,Longhena,3518679815
GiorgiaTognazzi,Giorgia,Tognazzi,3518227951
EnzioAlmagià,Enzio,Almagià,3367231630
GianpaoloMercantini,Gianpaolo,Mercantini,3792867491
EraldoBenedetti,Eraldo,Benedetti,3297626816
JolandaOssani,Jolanda,Ossani,3484834425
GianpaoloBernini,Gianpaolo,Bernini,3533257354
DanieleCampise,Daniele,Campise,3938748440
VictoriaBalbi,Victoria,Balbi,3442758838
SergiusMastandrea,Sergius,Mastandrea,3245291139
BenedettoFanucci,Benedetto,Fanucci,3710255629
ElianaBenussi,Eliana,Benussi,3481634709
IrmaFavata,Irma,Favata,3207243025
FlavioChinnici,Flavio,Chinnici,3299993612
ElisaTrotta,Elisa,Trotta,3501708341
BenitoBabato,Benito,Babato,3710394701
FlaviaInfantino,Flavia,Infantino,3229495300
MartinoTassoni,Martino,Tassoni,3514445560
TatianaLigorio,Tatiana,Ligorio,3512133146
SandraLiverotti,Sandra,Liverotti,3516342105
MichelettoGravina,Micheletto,Gravina,3472508735
MarioAltera,Mario,Altera,3208439024
RonaldoMicheletti,Ronaldo,Micheletti,3490655399
LucioFrescobaldi,Lucio,Frescobaldi,3505033414
ToniaFavata,Tonia,Favata,3757668980
IvoAntonetti,Ivo,Antonetti,3779686868
GiuliaCadorna,Giulia,Cadorna,3456834510
AdrianaZanzi,Adriana,Zanzi,3423651874
CostanzoMonte,Costanzo,Monte,3511058570
TizianaMicheletti,Tiziana,Micheletti,3703106202
MelaniaFalcone,Melania,Falcone,3773613502
LambertoBianchi,Lamberto,Bianchi,3334547003
DonatoSegni,Donato,Segni,3312872131
GiancarloCesaroni,Giancarlo,Cesaroni,3791667923
AdamoJuvara,Adamo,Juvara,3792774998
PierinaMajorana,Pierina,Majorana,3204973059
MilenaCrespi,Milena,Crespi,3971605953
PalomaRandazzo,Paloma,Randazzo,3278913358
PierangeloMorabito,Pierangelo,Morabito,3776267175
GeronimoCasadei,Geronimo,Casadei,3970390658
UmbertoBerlusconi,Umberto,Berlusconi,3533184198
MelissaRizzoli,Melissa,Rizzoli,3807188037
GraziellaCallegari,Graziella,Callegari,3814197771
CamilloDulbecco,Camillo,Dulbecco,3314174196
EttaCalarco,Etta,Calarco,3701901038
CoriolanoLiverotti,Coriolano,Liverotti,3287440031
GiampieroUbaldi,Giampiero,Ubaldi,3773209088
FloraMoresi,Flora,Moresi,3533737932
EugeniaBongiorno,Eugenia,Bongiorno,3716312853
GiulianoFantoni,Giuliano,Fantoni,3509333033
NinoFalcone,Nino,Falcone,3514665997
GianluigiMorricone,Gianluigi,Morricone,3311649359
NicolaBondumier,Nicola,Bondumier,3500250807
NinettaSmirnoff,Ninetta,Smirnoff,3908551009
ErmannoCasarin,Ermanno,Casarin,3355808030
FedeleMercalli,Fedele,Mercalli,3533453682
CiroCugia,Ciro,Cugia,3772597520
ConcettaFoconi,Concetta,Foconi,3513655339
GianfrancescoNolcini,Gianfrancesco,Nolcini,3804449741
AlbericoUbaldi,Alberico,Ubaldi,3353486315
EvangelistaAcerbi,Evangelista,Acerbi,3830635438
PierBeccaria,Pier,Beccaria,3776179611
RossanaDonà,Rossana,Donà,3916025807
CostantinoDossetti,Costantino,Dossetti,3714977126
DonatellaNaccari,Donatella,Naccari,3710196908
TizianaGramsci,Tiziana,Gramsci,3519585714
ElisaMonte,Elisa,Monte,3610054417
LianaCocci,Liana,Cocci,3882996754
GriseldaBoiardo,Griselda,Boiardo,3555898286
RolandoScarponi,Rolando,Scarponi,3899171372
GiacintoCanali,Giacinto,Canali,3757080273
MaurizioLattuada,Maurizio,Lattuada,3449377630
ParideZetticci,Paride,Zetticci,3514424120
MicheleSurian,Michele,Surian,3381346784
EzioMazzacurati,Ezio,Mazzacurati,3626614697
GianfrancescoCuriel,Gianfrancesco,Curiel,3773348245
EnricoZanzi,Enrico,Zanzi,3389612311
LilianaAlmagià,Liliana,Almagià,3415952311
ArnaldoSanudo,Arnaldo,Sanudo,3716453042
AlessiaFattori,Alessia,Fattori,3974351657
GiovannaCarosone,Giovanna,Carosone,3509912562
SaverioBoaga,Saverio,Boaga,3449629073
GiampaoloTurati,Giampaolo,Turati,3519586124
CarloTogliatti,Carlo,Togliatti,3222319990
RominaInteriano,Romina,Interiano,3376683327
RicciottiFilangieri,Ricciotti,Filangieri,3553852121
MarisaLeonardi,Marisa,Leonardi,3680205671
MattiaBernardini,Mattia,Bernardini,3533084382
RuggeroPavanello,Ruggero,Pavanello,3362324447
EttoreCiampi,Ettore,Ciampi,3442057150
FiorinoPalladio,Fiorino,Palladio,3906409788
AlessandroOrengo,Alessandro,Orengo,3237170373
ElmoPiccio,Elmo,Piccio,3497967536
IolandaCilea,Iolanda,Cilea,3232421761
ChiaraPorcellato,Chiara,Porcellato,3780751408
PatrizioMatteotti,Patrizio,Matteotti,3479523062
CassandraMaderno,Cassandra,Maderno,3715602446
LiviaVarano,Livia,Varano,3733438349
ElladioBerlusconi,Elladio,Berlusconi,3791607194
AdrianoTraversa,Adriano,Traversa,3972904739
AnnunziataLonghena,Annunziata,Longhena,3701261004
VirginiaFolliero,Virginia,Folliero,3770453619
AllegraGuariento,Allegra,Guariento,3505785174
GiosuèSibilia,Giosuè,Sibilia,3450802740
SebastianoFaggiani,Sebastiano,Faggiani,3809523319
ValerioZampa,Valerio,Zampa,3501814104
RaffaellinoTafuri,Raffaellino,Tafuri,3517057329
DanteDonà,Dante,Donà,3808495083
ZairaGoldstein,Zaira,Goldstein,3713009022
EmilioBattisti,Emilio,Battisti,3716903581
SerenaDoria,Serena,Doria,3293834557
EnzoTarantino,Enzo,Tarantino,3511825889
CiprianoAntonioni,Cipriano,Antonioni,3292103793
LeonardoPrati,Leonardo,Prati,3793770558
IsabellaSerraglio,Isabella,Serraglio,3615067293
ElianaRuffini,Eliana,Ruffini,3373395224
PierluigiOpizzi,Pierluigi,Opizzi,3480648185
ArnaldoSimeoni,Arnaldo,Simeoni,3824307080
PietroCasaleggio,Pietro,Casaleggio,3407007939
GioacchinoMontanari,Gioacchino,Montanari,3682911456
AmaliaMoneta,Amalia,Moneta,3514218644
FerdinandoFo,Ferdinando,Fo,3383553103
OlgaPetruzzi,Olga,Petruzzi,3510381258
ElenaBoccioni,Elena,Boccioni,3714756530
StefanoIannelli,Stefano,Iannelli,3500029608
GiovanniGentili,Giovanni,Gentili,3711334596
EvangelistaTrapani,Evangelista,Trapani,3772352947
RosariaFerrabosco,Rosaria,Ferrabosco,3404744025
