full_name,first_name,last_name,number
OsvaldoSerraglio,Osvaldo,Serraglio,3500978795
RominaLovato,Romina,Lovato,3384916077
CorradoVecoli,Corrado,Vecoli,3505585209
IdaTresoldi,Ida,Tresoldi,3828284889
GaetanoTomei,Gaetano,Tomei,3918204552
SoleBondumier,Sole,Bondumier,3637293075
AngelicaMoschino,Angelica,Moschino,3439311815
GalassoMartucci,Galasso,Martucci,3757087673
LisaVirgilio,Lisa,Virgilio,3515845350
GiulioTrevisani,Giulio,Trevisani,3817982277
LeopoldoFieramosca,Leopoldo,Fieramosca,3510630176
OlgaOrtolani,Olga,Ortolani,3465529105
FilippaGarozzo,Filippa,Garozzo,3303029796
DonatoFracci,Donato,Fracci,3428325158
DurantePistoletto,Durante,Pistoletto,3780190391
FernandaGadda,Fernanda,Gadda,3505949427
AnnalisaCossiga,Annalisa,Cossiga,3701650489
DamianoBondumier,Damiano,Bondumier,3513010551
TullioGianinazzi,Tullio,Gianinazzi,3780694498
PanfiloAngiolello,Panfilo,Angiolello,3760985595
AdrianoDisdero,Adriano,Disdero,3518504153
MarissaSalieri,Marissa,Salieri,3517413071
PieroAmmaniti,Piero,Ammaniti,3491406654
RuggieroBalotelli,Ruggiero,Balotelli,3779006265
AdeleDuse,Adele,Duse,3509935081
DomenicoGarzoni,Domenico,Garzoni,3803211300
DomenicoRiccati,Domenico,Riccati,3497261775
FerdinandoPulci,Ferdinando,Pulci,3715771667
ElmoSbarbaro,Elmo,Sbarbaro,3514462829
MassimoPavarotti,Massimo,Pavarotti,3505184099
BettinaRienzo,Bettina,Rienzo,3780596624
ErnestoSatta,Ernesto,Satta,3779838047
MattiaAcerbi,Mattia,Acerbi,3463973310
LiviaCossiga,Livia,Cossiga,3757857207
GioachinoScotto,Gioachino,Scotto,3774107599
NinettaStein,Ninetta,Stein,3773970958
StefaniaZaguri,Stefania,Zaguri,3739164215
GraziellaMantegna,Graziella,Mantegna,3430668955
SanteColletti,Sante,Colletti,3517594834
GraziellaGritti,Graziella,Gritti,3806304557
CarlaSpinola,Carla,Spinola,3703932410
LodovicoSamele,Lodovico,Samele,3760147171
EnzioGabrieli,Enzio,Gabrieli,3770670668
AlphonsCampano,Alphons,Campano,3226989844
GioachinoOttino,Gioachino,Ottino,3710469240
FortunataBaglioni,Fortunata,Baglioni,3424023703
FabiaCadorna,Fabia,Cadorna,3730231987
GraziellaCelentano,Graziella,Celentano,3224866614
PuccioGiacometti,Puccio,Giacometti,3347795167
AuroraCastelli,Aurora,Castelli,3620535940
CorradoNotarbartolo,Corrado,Notarbartolo,3474724281
GianlucaPedersoli,Gianluca,Pedersoli,3703944456
CostanzoBorghese,Costanzo,Borghese,3505236456
DinoCorcos,Dino,Corcos,3734665774
CleliaSanti,Clelia,Santi,3436035755
EttaFilzi,Etta,Filzi,3791290855
StellaSgarbi,Stella,Sgarbi,3686047680
MartaBonolis,Marta,Bonolis,3912172125
NataliaMarangoni,Natalia,Marangoni,3520009618
DonatoPiacentini,Donato,Piacentini,3911242400
MattiaMontesano,Mattia,Montesano,3533489185
LinaCavanna,Lina,Cavanna,3444155752
AnnettaTresoldi,Annetta,Tresoldi,3501722520
FiorinoPersico,Fiorino,Persico,3716530684
GianniGagliano,Gianni,Gagliano,3859566238
GirolamoMoretti,Girolamo,Moretti,3738443779
RaimondoAndreotti,Raimondo,Andreotti,3485105546
FrancescoPlatini,Francesco,Platini,3739404261
RobertoBettin,Roberto,Bettin,3316879923
LucreziaNonis,Lucrezia,Nonis,3776424721
EugeniaMondaini,Eugenia,Mondaini,3778400451
AdeleBosurgi,Adele,Bosurgi,3819778361
AlessandraMennea,Alessandra,Mennea,3533100475
LudovicaGiusti,Ludovica,Giusti,3923754607
EnricoBoiardo,Enrico,Boiardo,3452131675
SebastianoMagnani,Sebastiano,Magnani,3505320216
NinettaMoccia,Ninetta,Moccia,3703852329
ValeriaFranzese,Valeria,Franzese,3516356314
AlessandroDoglioni,Alessandro,Doglioni,3973055431
JolandaGualtieri,Jolanda,Gualtieri,3779017377
SoniaCanova,Sonia,Canova,3772469230
LudovicaVillarosa,Ludovica,Villarosa,3779196204
GiuseppeAntonioni,Giuseppe,Antonioni,3505636569
UbaldoVidoni,Ubaldo,Vidoni,3793373474
FabriziaTomasini,Fabrizia,Tomasini,3938354171
TatianaCutuli,Tatiana,Cutuli,3906699607
ZairaRossi,Zaira,Rossi,3757007041
FulvioMonteverdi,Fulvio,Monteverdi,3534542780
IrmaGussoni,Irma,Gussoni,3509785328
MircoSalgari,Mirco,Salgari,3330030882
SoniaVenier,Sonia,Venier,3738197723
EttaZanazzo,Etta,Zanazzo,3478312546
SeverinoSgalambro,Severino,Sgalambro,3518500864
PriscillaAbate,Priscilla,Abate,3770589343
BettinaContarini,Bettina,Contarini,3827233772
MarcoPaolini,Marco,Paolini,3779363610
LibertoLucarelli,Liberto,Lucarelli,3344493662
FilippoBossi,Filippo,Bossi,3505086817
RonaldoGreco,Ronaldo,Greco,3791321502
AngeloFlaiano,Angelo,Flaiano,3518808600
StefanoFilzi,Stefano,Filzi,3365009405
SylviaOrlando,Sylvia,Orlando,3703985696
PiergiorgioPaolucci,Piergiorgio,Paolucci,3446089481
GiannaMozart,Gianna,Mozart,3778708239
FabioIadanza,Fabio,Iadanza,3292830443
MercedesCheda,Mercedes,Cheda,3813273239
StellaPonti,Stella,Ponti,3312624748
MauroFinzi,Mauro,Finzi,3760421365
BerenicePadovano,Berenice,Padovano,3793935963
EttaOssani,Etta,Ossani,3802686426
BiancaCarosone,Bianca,Carosone,3505539615
MercedesDonini,Mercedes,Donini,3515035057
AtenulfTrotta,Atenulf,Trotta,3792600264
FedeleMorucci,Fedele,Morucci,3772312916
PomponioFrescobaldi,Pomponio,Frescobaldi,3500945823
MariaDepero,Maria,Depero,3800021695
MassimoPuccini,Massimo,Puccini,3430340141
GionataFerragni,Gionata,Ferragni,3895105255
PatrizioBrichese,Patrizio,Brichese,3907255360
DomenicoMantegna,Domenico,Mantegna,3793520838
ArmandoDurante,Armando,Durante,3683692203
CarmeloDonarelli,Carmelo,Donarelli,3711337594
NataliaAlboni,Natalia,Alboni,3518119606
CassandraLeonetti,Cassandra,Leonetti,3421351976
AlinaSchiaparelli,Alina,Schiaparelli,3716134994
LillaEinaudi,Lilla,Einaudi,3780509646
AtenulfBorsiere,Atenulf,Borsiere,3297526658
FedericoToscani,Federico,Toscani,3774406368
IppazioSurian,Ippazio,Surian,3778191192
PalomaFo,Paloma,Fo,3923055916
LilianaTamborini,Liliana,Tamborini,3716860623
MarisaTrussardi,Marisa,Trussardi,3855749374
TatianaGritti,Tatiana,Gritti,3510075109
BenitoGuglielmi,Benito,Guglielmi,3513681014
NicolaPincherle,Nicola,Pincherle,3793212747
GianfrancescoAntonetti,Gianfrancesco,Antonetti,3311116520
ManuelRamazzotti,Manuel,Ramazzotti,3682033569
FedericoGiannini,Federico,Giannini,3703162313
AmaliaVianello,Amalia,Vianello,3557427285
AlessioSiffredi,Alessio,Siffredi,3533583652
AlbertoGonzaga,Alberto,Gonzaga,3715728145
RicciottiTurchi,Ricciotti,Turchi,3772415797
SalvatoreOvadia,Salvatore,Ovadia,3772032603
AdrianoNiscoromni,Adriano,Niscoromni,3505887742
GiorgioFaranda,Giorgio,Faranda,3505875586
LucianoSerraglio,Luciano,Serraglio,3510916421
CassandraTrillini,Cassandra,Trillini,3925355882
NinoVespucci,Nino,Vespucci,3716261424
GoffredoProdi,Goffredo,Prodi,3780594166
DoloresLeone,Dolores,Leone,3895156584
AugustoBattelli,Augusto,Battelli,3792121940
DinaBrenna,Dina,Brenna,3713573095
StefanoMaffei,Stefano,Maffei,3624983213
PierGiannetti,Pier,Giannetti,3714654467
IvanGiulietti,Ivan,Giulietti,3353804386
DuranteCapuana,Durante,Capuana,3447061220
GiadaGozzano,Giada,Gozzano,3405128526
LuigiCicala,Luigi,Cicala,3667950794
PierangeloGulotta,Pierangelo,Gulotta,3760431363
AngeloCutrufo,Angelo,Cutrufo,3395697727
LandoCollodi,Lando,Collodi,3500949043
LeonardoMicca,Leonardo,Micca,3715324435
GianniLupo,Gianni,Lupo,3512673327
GiorgiaBoccaccio,Giorgia,Boccaccio,3905286233
LucaSiffredi,Luca,Siffredi,3922043355
AntoniaAnguissola,Antonia,Anguissola,3449258759
PanfiloCannizzaro,Panfilo,Cannizzaro,3600616075
GoffredoBenigni,Goffredo,Benigni,3517961953
AntonelloLercari,Antonello,Lercari,3734410838
ErmesRienzo,Ermes,Rienzo,3319919417
FilippaRoero,Filippa,Roero,3756523353
LuchinoCilibrasi,Luchino,Cilibrasi,3974510871
ErmenegildoBulzoni,Ermenegildo,Bulzoni,3774892690
CaterinaOliboni,Caterina,Oliboni,3777356550
LisaPassalacqua,Lisa,Passalacqua,3515795563
DonatellaGonzaga,Donatella,Gonzaga,3352432414
SophiaVecoli,Sophia,Vecoli,3887010910
GrecoMazzeo,Greco,Mazzeo,3386716888
TullioMorandini,Tullio,Morandini,3427583503
GiuseppinaSandi,Giuseppina,Sandi,3703169592
AlessiaToninelli,Alessia,Toninelli,3514794910
RiccardoLancisi,Riccardo,Lancisi,3780902632
RaffaellinoCarullo,Raffaellino,Carullo,3778645380
RoccoBotticelli,Rocco,Botticelli,3520130557
AlphonsDraghi,Alphons,Draghi,3234687344
DanieleSperi,Daniele,Speri,3715665898
MichelaPraga,Michela,Praga,3278518427
MichelottoCerquiglini,Michelotto,Cerquiglini,3783715452
DanteNicoletti,Dante,Nicoletti,3515912117
CaterinaModiano,Caterina,Modiano,3970923949
CamillaVendetti,Camilla,Vendetti,3713997088
FrancescoCortese,Francesco,Cortese,3885635086
LucaFolliero,Luca,Folliero,3738174242
StefanoLeoncavallo,Stefano,Leoncavallo,3514601183
PalomaRegge,Paloma,Regge,3931097361
AlessiaCrisafulli,Alessia,Crisafulli,3711315520
AntoninaPascarella,Antonina,Pascarella,3770662884
ElladioCalgari,Elladio,Calgari,3370144848
VanessaRusso,Vanessa,Russo,3813607843
PinaFoscari,Pina,Foscari,3756132002
ImeldaZanzi,Imelda,Zanzi,3319785906
CleliaBenussi,Clelia,Benussi,3331425707
AntoniettaComboni,Antonietta,Comboni,3447033310
MarissaBonino,Marissa,Bonino,3932521314
GioeleMajewski,Gioele,Majewski,3703913689
CostanzoGuarneri,Costanzo,Guarneri,3897252505
SoniaRiccardi,Sonia,Riccardi,3519071930
GiulianoPiccio,Giuliano,Piccio,3783623410
AdeleGaltarossa,Adele,Galtarossa,3445068934
EugeniaIadanza,Eugenia,Iadanza,3489997174
OrazioPininfarina,Orazio,Pininfarina,3513781543
GirolamoPirelli,Girolamo,Pirelli,3450245183
CirilloCociarelli,Cirillo,Cociarelli,3459239730
LodovicoSegni,Lodovico,Segni,3518830877
MarioFaranda,Mario,Faranda,3773229492
SilvestroCivaschi,Silvestro,Civaschi,3755399771
MelaniaPelli,Melania,Pelli,3776440114
NicolòSilvestri,Nicolò,Silvestri,3756870891
CarmeloLopresti,Carmelo,Lopresti,3711341493
NiccolòAndreotti,Niccolò,Andreotti,3772196603
DonatelloPastine,Donatello,Pastine,3330297065
RaffaeleTomaselli,Raffaele,Tomaselli,3207418794
GoffredoMoneta,Goffredo,Moneta,3466085210
DionigiGentilini,Dionigi,Gentilini,3703465678
CirilloRenier,Cirillo,Renier,3815135361
AlderanoCalarco,Alderano,Calarco,3711580803
AllegraSagnelli,Allegra,Sagnelli,3892846472
GinoAntonini,Gino,Antonini,3831585529
LiciaBoitani,Licia,Boitani,3710723421
LuciaCanil,Lucia,Canil,3509469259
SerafinaBarberini,Serafina,Barberini,3776732250
LazzaroJilani,Lazzaro,Jilani,3510286837
DaniloFerrucci,Danilo,Ferrucci,3814227939
EmilioSiffredi,Emilio,Siffredi,3510807370
ElviraMalaparte,Elvira,Malaparte,3518790396
ImeldaOrlando,Imelda,Orlando,3701607446
ToniaBaroffio,Tonia,Baroffio,3473524064
TeresaMarazzi,Teresa,Marazzi,3838565968
AdelePagnotto,Adele,Pagnotto,3685661825
MichelangeloStefanelli,Michelangelo,Stefanelli,3483302410
IrmaCampano,Irma,Campano,3358228118
OrlandoCaironi,Orlando,Caironi,3919411971
GianPepe,Gian,Pepe,3603826334
CaterinaRossetti,Caterina,Rossetti,3780026350
AnitaCesaroni,Anita,Cesaroni,3395049421
ElenaPiovani,Elena,Piovani,3533154279
AntonellaFantoni,Antonella,Fantoni,3505625915
CristinaPaolini,Cristina,Paolini,3791334852
MercedesGrasso,Mercedes,Grasso,3731031326
LaurettaBova,Lauretta,Bova,3519798083
SandraVigorelli,Sandra,Vigorelli,3505799580
AmadeoRenault,Amadeo,Renault,3414830486
GiulianoVento,Giuliano,Vento,3505680735
VirginiaGiannetti,Virginia,Giannetti,3927377381
FloraZacchia,Flora,Zacchia,3367737657
RaimondoMicca,Raimondo,Micca,3534425606
AlphonsGradenigo,Alphons,Gradenigo,3505111669
AngelinaCibin,Angelina,Cibin,3294205126
AgnoloContarini,Agnolo,Contarini,3714482978
RosinaPertile,Rosina,Pertile,3756438153
DonatellaMimun,Donatella,Mimun,3515163862
MarioSabbatini,Mario,Sabbatini,3716216368
FabriziaPizzetti,Fabrizia,Pizzetti,3520171338
SilvioNicoletti,Silvio,Nicoletti,3509047608
FedericoCostalonga,Federico,Costalonga,3516867959
RominaLiverotti,Romina,Liverotti,3760025979
PieroSalata,Piero,Salata,3736729757
OsvaldoDulbecco,Osvaldo,Dulbecco,3505826598
LuiginaMattarella,Luigina,Mattarella,3514359457
EttoreLeopardi,Ettore,Leopardi,3791276907
BeatriceMorucci,Beatrice,Morucci,3774774657
TatianaValguarnera,Tatiana,Valguarnera,3240915078
AlessiaMeucci,Alessia,Meucci,3880085373
GiulioBevilacqua,Giulio,Bevilacqua,3792072971
AlessiaPalumbo,Alessia,Palumbo,3366626600
NiccolòZeffirelli,Niccolò,Zeffirelli,3711719511
GiosuèMondadori,Giosuè,Mondadori,3716970260
RiccardoZito,Riccardo,Zito,3467556284
SoniaZanichelli,Sonia,Zanichelli,3780520940
ElviraFicino,Elvira,Ficino,3516768307
BernardoCasini,Bernardo,Casini,3510855235
AuroraLigorio,Aurora,Ligorio,3666988518
FabiaRomagnoli,Fabia,Romagnoli,3518937087
MercedesRighi,Mercedes,Righi,3907026015
UbertoBorsiere,Uberto,Borsiere,3773439314
AdelasiaBarberini,Adelasia,Barberini,3780916144
SandroOrtese,Sandro,Ortese,3934339189
AmaliaBeccheria,Amalia,Beccheria,3207644870
ErnestoTorlonia,Ernesto,Torlonia,3336382278
PierangeloVeltroni,Pierangelo,Veltroni,3772771113
MarisaPizziol,Marisa,Pizziol,3732380049
AngeloBarozzi,Angelo,Barozzi,3756330277
